issues,size_kb,topics,commits,commits_per_day,forks_per_day,age_days,days_since_update,recently_upload,has_homepage,stars,watchers,watchers_per_fork,activity_ratio,fork_star_ratio,issues_per_size,avg_growth_rate,creation_year,creation_month
474,4771,13,1,0.0002983293556085919,10.869630071599046,3352,0,1,1,346900,346900,9.521064910113902,0.0,0.10502996532151825,0.09932942162615256,103.4595884282732,2016,3
490,11239,13,1,0.0003322259136212625,16.57707641196013,3010,0,1,0,300995,300995,6.032326592781129,0.0,0.16577296708261904,0.04359430604982206,99.96512786449685,2017,2
480,6769,6,0,0.0,6.451442910915935,3985,0,1,1,244534,244534,9.511610719981329,0.0,0.10513423436317909,0.07090103397341212,61.34821876567988,2014,6
382,15393,14,23,0.0071097372488408035,14.471097372488408,3235,0,1,1,200790,200790,4.289101550818131,0.0,0.23314790005528135,0.024814862933610498,62.048825710754016,2016,7
207,246995,7,58,0.07240948813982521,57.0936329588015,801,0,1,1,175587,175587,3.839477827341905,0.0,0.26045060026881106,0.0008380702521498324,218.9364089775561,2023,3
2396,36427,16,0,0.0,28.22542204568024,1007,0,1,0,152834,152834,5.377124160011259,0.0,0.1859717996532208,0.06577358076205117,151.62103174603175,2022,8
1811,307532,20,100,0.041666666666666664,12.1175,2400,0,1,1,144780,144780,4.978337115741696,0.0,0.20086889854331716,0.005888798925643752,60.299875052061644,2018,10
4156,65579,0,6,0.0011278195488721805,1.943233082706767,5320,0,1,1,135801,135801,13.136099825885085,0.0,0.07612553570639607,0.06337297956694114,25.52170644615674,2010,10
185,7069,4,3,0.0009068923821039903,3.09764207980653,3308,0,1,1,113415,113415,11.068117497804236,0.0,0.09034880440149538,0.02616690240452617,34.27470534904805,2016,5
1935,54264,7,59,0.035287081339712915,5.326555023923445,1672,0,1,1,113178,113178,12.708061980687177,0.0,0.07868950953798849,0.035658343315212386,67.64973102211596,2020,10
80,1764,0,0,0.0,105.20666666666666,150,0,1,0,97111,97111,6.153665800646347,0.0,0.16250308921657466,0.0453257790368272,643.1192052980133,2024,12
378,4043,2,0,0.0,0.9975675675675676,3700,0,1,0,91986,91986,24.921701435925222,0.0,0.04012523508756672,0.09347181008902077,24.85436368549041,2015,4
16391,1058268,8,100,0.031181789834736514,7.561272217025257,3207,0,1,1,90282,90282,3.723122602993938,0.0,0.26858877086494687,0.015488500560821492,28.142768079800497,2016,8
